,MH
26733,-0.29282999
26735,-0.0211515
26898,-0.44389901
26901,0.07744559599999999
26902,-0.56
26961,-0.14229199
26968,0.17709
26969,-0.46832201
27092,-0.1901
27093,0.182794
27094,-0.30057399999999995
27147,-0.41472399
27153,-0.38276401
27247,0.052499998
27711,-0.169824
27842,-0.311012
27843,0.38079199
28087,-0.105218
28311,-0.57456899
28515,-0.42285499
28521,-0.51068097
28810,-0.39236999
28995,-0.121019
28998,-0.0165393
29082,-0.059999999000000005
29344,-0.38237899999999997
29438,-0.25512999
29631,-0.96986598
29906,-0.0038258601
30073,-0.050000000999999995
30460,-0.45447600000000005
30656,-0.44218999
30873,-0.51505798
30874,0.33214599
30908,0.15093399999999998
30927,0.21919701
31041,-0.0102678
31446,-0.60000002
31649,-0.37472501
31650,-0.87
31893,-0.74000001
31894,-1.14
32127,-0.388152
32160,-0.30239499
32163,0.354581
32552,0.10797999999999999
32795,-0.07654090200000001
33296,-0.46000001
33387,-0.31999999
33566,-0.36721501
33911,-0.36509001
34164,-0.30344301
34186,0.187814
34708,-0.50159699
34779,0.14066499
34944,-0.50999999
35204,-0.19205999
35328,-0.598355
35848,-0.34650201
35938,-0.28999999
35950,-0.227557
35957,-0.55095899
36145,-0.58999997
36783,-0.23999999
36796,-0.43000001
37262,-0.70999998
37474,-0.36828399
37498,-0.34
37731,-0.42122999
37745,-0.60166198
38542,-0.20999999
38938,0.0190167
39182,-0.060059800999999996
39269,0.016643301
39494,-0.155843
39702,-0.28843099
40000,-0.56999999
40447,-0.30917501
40604,-0.139961
40679,0.124777
40680,-0.063929997
40897,-0.264525
41122,-0.55000001
41132,-0.194544
41181,0.14
41485,-0.53175098
41653,-0.64596999
41698,0.15370999
41829,-0.652821
42013,-0.91379303
42035,-0.23
42077,-0.08858200199999999
42128,-0.37799001
42320,-0.97000003
42598,0.049330998
42605,-0.15363599
42638,-0.33132201
42665,-0.65761203
42774,0.33049101
42775,-0.459521
43131,-0.34
43270,-0.28
43368,-0.5061939999999999
43390,-0.31999999
43643,-0.0608087
43765,-0.31007701
43841,0.40367800000000004
43905,-0.223316
44064,-0.11596400000000001
44112,0.0084406901
44366,0.24107599
44485,-0.27634701
44487,-0.12206099999999999
44712,-0.31766599
44877,-0.44492799
44882,-0.13031800000000002
44895,-0.33408001
44984,-0.57999998
45308,0.05345470099999999
45358,-0.49506000000000006
45400,0.21421199999999999
45549,-0.24703801
45554,-0.33019301
45865,-1.01
46211,-0.24402501
46235,0.0180368
46391,-0.30115199
46579,-0.26604301
46743,0.079999998
46852,-0.39846599
46864,0.189273
46869,-0.224811
46912,0.33725801
47197,-0.258286
47393,-0.36000001
47591,0.0099999998
47818,-0.31431401
47885,-0.81
47945,-0.013008600000000002
47955,-0.25
48162,-0.0914196
48414,-0.73000002
48478,-0.029999999
48664,-0.13366599
48863,-0.0071249902
48905,-0.14469101
49026,-0.039021101
49317,-0.2
49552,-1.26
49844,0.12070399999999999
50029,-1.0
50046,-0.3599
50062,-0.44999999
50227,0.080134198
50236,-0.50290501
50831,-0.344235
51304,-0.27029601
51305,-0.17154001
51507,-0.31999999
51623,-0.26745999
51647,-0.708332
51648,0.059631199
51871,-0.28792301
51954,-0.61153102
52402,-0.64296401
52793,-0.18644901
52875,-0.0302274
52953,-0.16
53297,0.0055426699
53653,-0.0092048896
53766,-0.47
53853,-0.57213497
53949,-0.10538299999999999
54136,-0.52999997
54255,-0.52813202
54275,-0.02
54385,-0.72491002
54386,-0.042287599
54462,-0.30002901
54574,0.0265118
54579,0.17567299
54782,-0.44999999
55168,-0.49948701
55258,-0.44
56490,-0.18747599
56598,-0.17382999999999998
57063,-0.02
57790,-0.85000002
57942,0.059999999000000005
58014,-0.0099999998
58303,-0.23109999
58517,0.30914801
58543,-0.25
58771,-0.28999999
59142,-0.72000003
59996,-0.26405799
60255,-0.56999999
60368,-0.79000002
60523,-0.75
61124,-0.40000001
61666,-0.0099999998
61725,-0.039999999
62760,-0.07
63881,-0.61875898
65135,0.13
65347,-0.25
65795,-0.44
66665,-0.82999998
67355,-0.47999999
67625,-0.75999999
67653,-0.49000001
68166,-0.47
71048,-0.49000001
72412,-0.23
73146,0.0
74630,-0.12
75512,-1.46
75646,-0.34
75855,-1.2
75952,0.28
77094,0.15000001
77316,0.12
77529,-1.36
77561,-0.38
77764,-1.26
77785,-0.28
79389,0.059999999000000005
81116,0.0
81219,0.27000001
82589,-0.72000003
84402,-0.40000001
84501,-0.69
85308,-0.22
85627,-0.37
85960,-0.50999999
498,-0.23
1657,-0.34
2272,-0.40000001
2537,-0.25
2636,-0.61000001
2697,0.0
2880,-0.25999999
3307,-0.43000001
4359,-0.64613903
4589,-1.0599999
5266,0.14665601
5650,-0.57999998
6001,-0.55000001
6134,-0.039999999
6216,-0.27000001
7104,-0.38999999
7390,-0.61000001
7732,-0.85000002
8471,-0.47999999
8626,-0.63999999
8716,0.029999999
8807,-0.25999999
8818,-0.09000000400000001
8935,-0.25
8944,-0.57999998
9346,-0.140876
9854,0.12498699999999999
10263,0.19903401
10316,-0.77999997
10522,-0.36000001
10535,-0.050000000999999995
12118,-0.75
12276,-0.28
12383,-0.10391099999999999
12705,-0.75999999
12944,0.56999999
13047,-0.44999999
13656,-0.12
14508,-0.44
14922,-0.127426
15941,-0.208123
16118,0.23855700000000002
17362,-0.22280701
17769,-0.56
18654,-0.28
19782,-0.44
21394,0.16
21411,-0.20999999
22451,0.0
22670,-0.2
22939,-0.56999999
23670,-0.41999999
23675,-0.76999998
23808,-0.43000001
24462,-0.44999999
24767,-1.09
26713,-0.86000001
27032,-0.31
28108,-1.04
28840,-0.139768
28997,-0.51999998
29654,0.024735498999999998
29656,0.138925
30304,-0.038280800000000004
30514,-0.23652899
30733,0.0509631
31157,-0.304245
31160,0.17058399
31450,-0.83999997
31468,-0.57999998
31886,-0.94
31919,-0.36000001
33183,-0.38999999
34098,-0.34999999
34177,-0.12
35282,-1.36
35750,-0.17
36717,0.25
37224,-1.52
37520,-0.029999999
38165,-0.289134
38528,-0.22499999
39004,-0.64999998
39036,-0.22
39394,-0.30000001
39493,-0.37
39762,0.14
39872,-0.43000001
42265,-0.65827602
42423,-0.0099999998
42538,0.25999999
42539,-0.77999997
43597,0.0
45177,-0.50999999
45426,-0.93000001
45701,-0.050000000999999995
46183,-1.05
46240,-1.0700001000000001
46355,-0.19499999
46375,-0.15000001
47184,-0.85000002
48087,-0.33393401
48661,-0.55000001
48984,-0.54000002
50157,-0.82999998
50254,0.0
50826,-0.34
51688,-0.81
52248,-0.19
53041,-0.50999999
54382,-0.46000001
54865,0.029999999
55965,-0.54000002
56422,-0.99000001
57110,0.20999999
57117,-0.82999998
57679,-0.87
59151,-0.45342499
59324,-1.14
59333,-0.38
60356,-0.41
60955,0.0
61673,0.0
65293,-0.28
65942,-0.49000001
68908,-0.18000001
69446,0.23999999
70456,-0.28
71038,-0.75999999
71709,-0.75999999
72424,-0.87
72725,0.0099999998
72987,-0.47999999
74407,-0.14
74555,-1.29
74602,-0.28999999
75055,-0.50999999
75426,-0.14
75618,-1.51
75864,-0.039999999
76903,-0.63999999
76932,-0.63999999
77766,-0.28
77815,-1.1799998999999999
78913,-0.80000001
79176,-0.80000001
79545,-0.47
79836,-0.47
81242,-0.17
81778,-0.56999999
82579,-0.25999999
84045,0.23999999
84180,-0.62
84217,-0.25
84644,0.28
592,-0.85000002
1148,-0.029999999
1782,-0.33839801
2758,-0.2
4111,-0.50999999
4174,-0.31
4455,0.0
4524,-0.060391999999999994
4646,-1.12
4726,-0.117405
6055,-0.86000001
6488,-0.81
6503,-0.58999997
6746,-1.12
6981,0.0
7040,-1.72
7369,-0.22
7470,-0.29117101
8182,0.117826
8905,-0.28
8988,0.059999999000000005
9300,-0.18000001
9761,-0.035669900000000004
9765,0.07832799900000001
10118,0.078782499
10163,-0.33390701
10312,-0.17
10338,-0.146543
10448,-0.47999999
10672,-0.77999997
10710,-0.47
11256,0.147973
11364,-0.20407701
11468,-0.07474839700000001
11518,0.140746
11555,0.10451300000000001
11646,-0.0830549
12106,-0.115756
12263,-0.25237301
12281,-0.21529
12324,0.11424300000000001
12639,-0.34
12712,-0.117422
13134,-0.160823
13392,0.30652401
13823,0.12661199
13849,-0.22142801
13850,-0.85000002
14598,-0.26552299
