,ID,Teff,logg,MH
22686,246893101,6042.0,4.3799601,
22705,63785354,5328.8999,4.15238,-0.56999999
22722,246846723,5483.0,4.4614500999999995,
22858,12422316,5069.0,4.6270199,
22877,246854385,6445.7002,3.9732800000000004,-0.49000001
22899,246893114,5484.0,4.5555701,
22963,63939708,6380.0,4.43435,
22972,63785934,6347.0,4.0623002,
23113,246893122,5916.0,4.38657,
23126,43400491,5665.0,4.5690699,
23208,246822709,5625.0,4.21033,
23228,43362463,5953.0,4.22928,
23283,12422336,6336.0,4.0255899,
23521,12418142,6453.0,4.31042,
23534,246887877,6210.0,4.4464002,
23565,63785397,6482.1001,3.9056499,-0.47
23632,43362472,5970.0,4.5557199,
23637,43362477,5729.0,4.5647402,
23765,43400523,5781.0,4.3031001,
23801,63939748,4806.0,4.5060701,
23811,43374187,5255.0,4.0761099000000005,
23813,43374189,5736.3799,4.33778,-0.28999999
23901,313934404,5288.0,4.5385098,
24066,43362490,5917.0,4.579070099999999,
24582,12418176,4360.0,4.55123,
24629,63785436,6029.1001,4.1261501,-0.23
24768,246854448,6188.0,4.27918,
24809,246887926,5126.0,4.352570099999999,
24816,246887933,6761.0,4.2804799000000004,
24927,43362515,5867.0,4.22405,
25007,246887935,6163.0,4.32125,
25030,616659768,6596.0,4.3387599,
25165,246854459,6651.0,4.1070499,
25185,12418203,5104.0,4.6303,
25191,12418209,5973.0,4.331669799999999,
25293,246822781,5907.0,3.4681300999999998,-0.52999997
25330,313934449,5903.0,4.0928702,
25386,12422410,5904.0,4.4271402,
25581,609990051,4937.0,4.5151501,
25594,12422420,5905.0,4.4609399000000005,
25620,246861120,5983.0,4.2645302,
25642,246846812,6239.9902,4.2662501,
25740,63787376,6932.1001,4.203879799999999,
25857,246846819,5477.0,4.3145499,
26140,63939827,6567.0,3.8824501000000002,
26142,63939829,6174.0,4.4471002,
26193,313934482,6069.0,4.4089799,
26238,246854500,5655.0,4.1344299,
26251,246887981,5535.0,4.3171301,
26262,12422437,6166.0,4.3757,
26312,246846845,6141.0,4.2114401,
26366,43362583,6585.0,4.15627,
26503,246846849,6165.5,3.8384099000000003,-0.94999999
26566,63939851,5841.0,4.1248398,
26781,12418268,5960.0,4.1289701,
26827,246822846,5970.0,4.2755799,
26831,246822850,5734.2998,4.1824398,-0.15000001
26873,246861821,5559.0,4.3158698,
27005,43362601,5211.0,3.7974701,
27023,63787418,5407.0,4.6573500999999995,
27113,12422471,6037.0,4.4302802,
27128,43374291,6037.0,4.13697,
